Localización,Precio m2 jun 2022,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo
Palencia provincia,1.093 €/m2,"- 0,3 %","- 1,2 %","- 2,1 %",1.332 €/m2 feb 2012,"- 17,9 %"
Palencia,1.283 €/m2,"- 0,2 %","- 0,5 %","- 3,7 %",1.724 €/m2 ene 2009,"- 25,6 %"
Salamanca provincia,1.300 €/m2,"- 0,7 %","- 0,5 %","- 1,5 %",1.709 €/m2 mar 2011,"- 23,9 %"
Salamanca,1.665 €/m2,"+ 0,7 %","+ 0,3 %","- 0,9 %",2.387 €/m2 feb 2008,"- 30,3 %"
Segovia provincia,1.172 €/m2,"+ 1,3 %","+ 3,1 %","+ 8,3 %",1.563 €/m2 sep 2007,"- 25,0 %"
Segovia,1.633 €/m2,"+ 0,3 %","+ 2,6 %","+ 5,7 %",2.225 €/m2 mar 2009,"- 26,6 %"
Soria provincia,1.007 €/m2,"- 1,2 %","+ 0,5 %","+ 1,3 %",1.296 €/m2 mayo 2011,"- 22,3 %"
Soria,1.342 €/m2,"- 0,3 %","- 1,3 %","+ 5,8 %",1.901 €/m2 abr 2011,"- 29,4 %"
Valladolid provincia,1.317 €/m2,"+ 0,9 %","+ 0,2 %","+ 2,9 %",1.738 €/m2 oct 2007,"- 24,2 %"
Valladolid,1.549 €/m2,"+ 1,6 %","+ 0,1 %","+ 1,9 %",2.102 €/m2 nov 2007,"- 26,3 %"
Zamora provincia,962 €/m2,"- 0,3 %","+ 0,7 %","- 0,6 %",1.356 €/m2 mar 2011,"- 29,1 %"
Zamora,1.131 €/m2,"- 0,2 %","+ 0,3 %","- 3,3 %",1.607 €/m2 mar 2011,"- 29,7 %"
Castilla-La Mancha,898 €/m2,"- 0,2 %","+ 2,3 %","+ 2,5 %",1.362 €/m2 abr 2008,"- 34,1 %"
Albacete provincia,1.089 €/m2,"+ 0,3 %","+ 2,6 %","- 1,2 %",1.508 €/m2 abr 2008,"- 27,8 %"
Albacete,1.393 €/m2,"+ 0,5 %","+ 2,1 %","+ 4,0 %",1.837 €/m2 jun 2008,"- 24,2 %"
Ciudad Real provincia,761 €/m2,"+ 0,1 %","- 0,1 %","- 0,8 %",1.288 €/m2 jun 2007,"- 40,9 %"
Ciudad Real,1.141 €/m2,"- 0,3 %","0,0 %","+ 0,9 %",1.845 €/m2 abr 2008,"- 38,1 %"
Cuenca provincia,800 €/m2,"- 0,9 %","+ 0,5 %","+ 0,2 %",1.079 €/m2 ago 2008,"- 25,9 %"
Cuenca,1.038 €/m2,"- 6,9 %","- 11,8 %","- 7,6 %",1.674 €/m2 mar 2010,"- 38,0 %"
Guadalajara provincia,1.138 €/m2,"+ 0,7 %","+ 4,2 %","+ 8,6 %",1.586 €/m2 dic 2007,"- 28,3 %"
Guadalajara,1.467 €/m2,"+ 2,3 %","+ 7,6 %","+ 11,2 %",2.129 €/m2 mayo 2008,"- 31,1 %"
Toledo provincia,852 €/m2,"- 0,3 %","+ 3,8 %","+ 7,5 %",1.345 €/m2 abr 2008,"- 36,6 %"
Toledo,1.435 €/m2,"- 1,5 %","- 1,6 %","+ 3,7 %",2.067 €/m2 mayo 2008,"- 30,6 %"
Cataluña,2.334 €/m2,"- 0,3 %","+ 1,1 %","+ 0,4 %",2.573 €/m2 jun 2007,"- 9,3 %"
Barcelona provincia,2.722 €/m2,"- 0,2 %","+ 0,8 %","- 0,6 %",2.796 €/m2 jun 2007,"- 2,6 %"
Barcelona,4.032 €/m2,"+ 0,2 %","+ 1,5 %","+ 1,1 %",4.279 €/m2 sep 2018,"- 5,8 %"
Girona provincia,2.124 €/m2,"+ 0,3 %","+ 1,1 %","+ 2,6 %",2.358 €/m2 jun 2007,"- 9,9 %"
Girona,2.212 €/m2,"+ 0,5 %","+ 0,1 %","+ 0,6 %",2.606 €/m2 ene 2009,"- 15,1 %"
Lleida provincia,1.248 €/m2,"+ 0,1 %","+ 1,7 %","+ 0,2 %",1.944 €/m2 sep 2007,"- 35,8 %"
Lleida,1.076 €/m2,"- 0,3 %","+ 2,2 %","+ 2,0 %",1.727 €/m2 abr 2009,"- 37,7 %"
Tarragona provincia,1.451 €/m2,"+ 1,2 %","+ 4,1 %","+ 5,2 %",2.010 €/m2 oct 2006,"- 27,8 %"
Tarragona,1.776 €/m2,"- 1,0 %","- 0,4 %","+ 3,2 %",2.522 €/m2 ago 2008,"- 29,6 %"
Ceuta,1.628 €/m2,"- 2,6 %","+ 11,2 %","- 16,9 %",2.256 €/m2 ene 2021,"- 27,8 %"
Ceuta provincia,1.628 €/m2,"- 2,6 %","+ 11,2 %","- 16,9 %",2.256 €/m2 ene 2021,"- 27,8 %"
Ceuta,1.628 €/m2,"- 2,6 %","+ 11,2 %","- 16,9 %",2.256 €/m2 ene 2021,"- 27,8 %"
Comunitat Valenciana,1.582 €/m2,"+ 0,8 %","+ 5,0 %","+ 7,1 %",1.839 €/m2 ene 2006,"- 14,0 %"
Alicante/Alacant,1.815 €/m2,"+ 1,0 %","+ 4,6 %","+ 8,0 %",1.975 €/m2 feb 2006,"- 8,1 %"
Alicante / Alacant,1.548 €/m2,"+ 1,5 %","+ 4,9 %","+ 5,4 %",1.855 €/m2 mayo 2007,"- 16,6 %"
Castellón/Castelló,1.127 €/m2,"+ 0,7 %","+ 2,8 %","+ 2,5 %",1.896 €/m2 jul 2007,"- 40,5 %"
Castellón de la Plana / Castello de la Plana,1.211 €/m2,"- 0,2 %","+ 2,3 %","+ 3,6 %",1.782 €/m2 nov 2008,"- 32,0 %"
Valencia/Valéncia,1.272 €/m2,"+ 0,6 %","+ 3,5 %","+ 0,2 %",1.886 €/m2 oct 2006,"- 32,6 %"
València,2.004 €/m2,"+ 1,2 %","+ 4,9 %","+ 9,5 %",2.387 €/m2 feb 2008,"- 16,0 %"
Euskadi,2.716 €/m2,"+ 0,3 %","+ 1,2 %","+ 1,8 %",3.244 €/m2 abr 2011,"- 16,3 %"
Álava,2.215 €/m2,"+ 0,2 %","+ 1,5 %","+ 2,6 %",2.471 €/m2 ene 2011,"- 10,4 %"
Vitoria-Gasteiz,2.472 €/m2,"+ 0,7 %","+ 2,8 %","+ 3,3 %",2.972 €/m2 oct 2008,"- 16,8 %"
Guipúzcoa,3.278 €/m2,"+ 0,6 %","+ 3,4 %","+ 3,0 %",3.488 €/m2 mayo 2011,"- 6,0 %"
Donostia-San Sebastián,5.082 €/m2,"+ 0,4 %","+ 3,8 %","+ 4,6 %",5.082 €/m2 jun 2022,"0,0 %"
Vizcaya,2.660 €/m2,"+ 0,2 %","+ 0,2 %","+ 1,6 %",3.353 €/m2 abr 2011,"- 20,7 %"
Bilbao,3.062 €/m2,"0,0 %","- 0,9 %","+ 2,0 %",3.591 €/m2 abr 2011,"- 14,7 %"
Extremadura,938 €/m2,"- 0,6 %","- 0,3 %","+ 0,6 %",1.203 €/m2 abr 2011,"- 22,0 %"
Badajoz provincia,959 €/m2,"- 0,4 %","+ 1,8 %","+ 2,3 %",1.268 €/m2 mayo 2011,"- 24,4 %"
Badajoz,1.290 €/m2,"- 0,2 %","+ 1,3 %","+ 4,1 %",1.704 €/m2 abr 2008,"- 24,3 %"
Cáceres provincia,913 €/m2,"- 0,8 %","- 2,9 %","- 1,5 %",1.130 €/m2 oct 2007,"- 19,2 %"
Cáceres,1.161 €/m2,"- 0,5 %","- 2,1 %","+ 0,8 %",1.572 €/m2 jul 2008,"- 26,1 %"
Galicia,1.340 €/m2,"+ 0,1 %","+ 0,7 %","- 0,5 %",1.762 €/m2 nov 2011,"- 24,0 %"
A Coruña provincia,1.288 €/m2,"+ 0,1 %","+ 1,5 %","- 1,9 %",1.826 €/m2 nov 2011,"- 29,4 %"
A Coruña,2.179 €/m2,"+ 0,8 %","+ 2,1 %","+ 1,8 %",2.883 €/m2 ago 2008,"- 24,4 %"
Lugo provincia,980 €/m2,"+ 0,7 %","+ 0,5 %","- 1,2 %",1.608 €/m2 mayo 2011,"- 39,0 %"
Lugo,1.227 €/m2,"+ 1,0 %","- 0,2 %","- 1,6 %",1.915 €/m2 jun 2011,"- 35,9 %"
Ourense provincia,1.177 €/m2,"+ 0,5 %","+ 0,4 %","+ 0,9 %",1.528 €/m2 nov 2011,"- 23,0 %"
Ourense,1.447 €/m2,"+ 0,7 %","+ 0,2 %","- 1,1 %",1.915 €/m2 nov 2011,"- 24,4 %"
Pontevedra provincia,1.579 €/m2,"+ 0,2 %","+ 0,4 %","+ 2,1 %",1.861 €/m2 jun 2007,"- 15,1 %"
Pontevedra,1.688 €/m2,"- 1,6 %","+ 1,2 %","+ 2,5 %",1.787 €/m2 dic 2009,"- 5,5 %"
La Rioja,1.267 €/m2,"- 0,7 %","- 1,7 %","+ 2,6 %",1.600 €/m2 mar 2011,"- 20,8 %"
La Rioja,1.267 €/m2,"- 0,7 %","- 1,7 %","+ 2,6 %",1.600 €/m2 mar 2011,"- 20,8 %"
Logroño,1.585 €/m2,"0,0 %","+ 0,3 %","+ 1,1 %",1.993 €/m2 abr 2011,"- 20,5 %"
Madrid Comunidad,3.058 €/m2,"+ 0,6 %","+ 2,1 %","+ 3,8 %",3.058 €/m2 jun 2022,"0,0 %"
Madrid provincia,3.058 €/m2,"+ 0,6 %","+ 2,1 %","+ 3,8 %",3.058 €/m2 jun 2022,"0,0 %"
Madrid,3.862 €/m2,"+ 0,7 %","+ 2,1 %","+ 2,8 %",3.862 €/m2 jun 2022,"0,0 %"
Melilla,1.909 €/m2,"- 0,4 %","+ 1,4 %","+ 5,2 %",1.917 €/m2 mayo 2022,"- 0,4 %"
Melilla provincia,1.909 €/m2,"- 0,4 %","+ 1,4 %","+ 5,2 %",1.917 €/m2 mayo 2022,"- 0,4 %"
Melilla,1.909 €/m2,"- 0,4 %","+ 1,4 %","+ 5,2 %",1.917 €/m2 mayo 2022,"- 0,4 %"
Murcia Región,1.096 €/m2,"+ 0,2 %","+ 1,9 %","+ 3,7 %",1.684 €/m2 sep 2006,"- 35,0 %"
Murcia provincia,1.096 €/m2,"+ 0,2 %","+ 1,9 %","+ 3,7 %",1.684 €/m2 sep 2006,"- 35,0 %"
Murcia,1.068 €/m2,"- 0,8 %","- 0,1 %","- 0,1 %",1.745 €/m2 sep 2007,"- 38,8 %"
Navarra,1.529 €/m2,"+ 0,9 %","+ 4,0 %","+ 4,6 %",1.787 €/m2 dic 2007,"- 14,5 %"
Navarra,1.529 €/m2,"+ 0,9 %","+ 4,0 %","+ 4,6 %",1.787 €/m2 dic 2007,"- 14,5 %"
Pamplona/Iruña,2.599 €/m2,"+ 2,2 %","+ 8,4 %","+ 12,1 %",2.599 €/m2 jun 2022,"0,0 %"
