"population","name"
"35114","Alhaurin de la Torre"
"35025","Yecla"
"34922","San Pedro de Alcantara"
"34717","Tudela"
"34565","Burriana"
"34533","Aguilas"
"34356","el Camp d'en Grassot i Gracia Nova"
"33797","Villajoyosa"
"33642","el Poblenou"
"33588","Almendralejo"
"33524","Olot"
"33453","Montcada i Reixac"
"33443","Oleiros"
"33348","Marratxi"
"32928","Aranda de Duero"
"32744","Azuqueca de Henares"
"32422","Cambrils"
"32219","Puerto de la Cruz"
"32030","Sant Joan Despi"
"31963","Fort Pienc"
"31843","El Carmel"
"31820","Galapagar"
"31760","Santa Pola"
"31670","Castro-Urdiales"
"31432","San Javier"
"31396","Arroyomolinos"
"31314","Santa Eularia des Riu"
"31210","Arcos de la Frontera"
"31197","Leioa"
"31147","Valdepenas"
"31144","Barbera del Valles"
"30990","Carballo"
"30976","Hellin"
"30820","San Andres del Rabanedo"
"30675","Alcazar de San Juan"
"30508","Manises"
"30479","la Marina de Port"
"30392","Alaquas"
"30263","Camargo"
"30241","Puente-Genil"
"30228","Oliver-Valdefierro"
"30002","Xirivella"
"30000","Atamaria"
"30000","Pinar de Chamartin"
"30000","Puerto del Carmen"
"29985","Salt"
"29914","Aldaia"
"29762","Arteixo"
"29476","Sestao"
"29386","Xativa"
"29319","Ingenio"
"29308","Inca"
"29278","el Putxet i el Farro"
"29249","San Roque"
"29226","Galdakao"
"29211","Totana"
"29194","Redondela"
"29179","Rota"
"29160","Ciutadella"
"29134","La Sagrera"
"29125","Mao"
"29013","la Verneda i la Pau"
"28957","Crevillente"
"28924","Aguimes"
"28908","Sueca"
"28455","Moron de la Frontera"
"28419","Oliva"
"28353","Sant Pere de Ribes"
"28344","Carmona"
"28308","Algemesi"
"28273","Vinaros"
"28229","Durango"
"28227","Culleredo"
"28100","Coria del Rio"
"28016","Javea"
"27893","El Campello"
"27701","Sant Vicenc dels Horts"
"27696","Almunecar"
"27668","Sitges"
"27518","Ribeira"
"27419","Eibar"
"27399","Premia de Mar"
"27170","el Clot"
"27135","Novelda"
"27067","Santa Uxia de Ribeira"
"27035","Catarroja"
"26983","Ames"
"26775","Salou"
"26681","Martorell"
"26676","Horta"
"26655","Benicarlo"
"26642","Villarrobledo"
"26516","Nijar"
"26475","Villaviciosa de Odon"
"26434","Lebrija"
"26415","Caravaca"
"26401","Sant Andreu de la Barca"
"26295","la Prosperitat"
"26203","Pineda de Mar"
"26196","Sant Marti de Provencals"
"26015","Camas"
"25969","Marin"
"25886","Lepe"
"25884","La Oliva"
"25838","Villanueva de la Serena"
"25831","Almassora"
"25767","Almozara"
"25766","el Baix Guinardo"
"25748","Cangas do Morrazo"
"25727","Almansa"
"25691","Onda"
"25685","Jumilla"
"25581","Vilapicina i la Torre Llobeta"
"25574","La Bonanova"
"25499","Quart de Poblet"
"25092","Valls"
"25048","Santa Perpetua de Mogoda"
"24846","Iturrama"
"24819","Sarria"
"24787","Calahorra"
"24655","Martos"
"24604","Porta"
"24405","Galdar"
"24373","Adra"
"24344","Sants - Badal"
"24319","Candelaria"
"24265","Calafell"
"24262","Erandio"
"24121","Cullera"
"24113","Ibi"
"24067","Molins de Rei"
"24058","la Maternitat i Sant Ramon"
"24036","Castellar del Valles"
"24024","Icod de los Vinos"
"23840","Montilla"
"23780","Altea"
"23738","San Pedro del Pinatar"
"23562","Tacoronte"
"23519","Paiporta"
"23513","Priego de Cordoba"
